m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Cs' [F]	 Cs'' [F]	  |C| [F]	 Zp' [Ohms]	 Zp'' [Ohms]	 Zs' [Ohms]	 Zs'' [Ohms]	  |Z| [Ohms]
1.00000e+05	1.15987e-11	3.22257e-10	1.15912e-11	3.81740e+06	1.37396e+05	4.93876e+03	-1.37218e+05	1.37307e+05
6.25000e+04	1.17144e-11	2.76591e-10	1.17039e-11	5.14185e+06	2.17771e+05	9.20666e+03	-2.17381e+05	2.17576e+05
3.90625e+04	1.18518e-11	2.32927e-10	1.18365e-11	6.77386e+06	3.44667e+05	1.74920e+04	-3.43777e+05	3.44222e+05
2.44141e+04	1.20332e-11	1.94031e-10	1.20101e-11	8.76921e+06	5.43836e+05	3.35976e+04	-5.41752e+05	5.42793e+05
1.52588e+04	1.22651e-11	1.62243e-10	1.22302e-11	1.13135e+07	8.55269e+05	6.42884e+04	-8.50409e+05	8.52835e+05
9.53674e+03	1.25683e-11	1.37776e-10	1.25163e-11	1.46772e+07	1.33889e+06	1.21128e+05	-1.32784e+06	1.33335e+06
5.96046e+03	1.29543e-11	1.19672e-10	1.28790e-11	1.92649e+07	2.08538e+06	2.23124e+05	-2.06123e+06	2.07327e+06
3.72529e+03	1.34332e-11	1.06710e-10	1.33280e-11	2.56647e+07	3.23079e+06	4.00362e+05	-3.18039e+06	3.20549e+06
2.32831e+03	1.40218e-11	9.76696e-11	1.38795e-11	3.46572e+07	4.97551e+06	6.99875e+05	-4.87503e+06	4.92501e+06
1.45519e+03	1.47058e-11	9.13238e-11	1.45187e-11	4.73835e+07	7.63010e+06	1.19761e+06	-7.43725e+06	7.53306e+06
9.09495e+02	1.55056e-11	8.68033e-11	1.52640e-11	6.51958e+07	1.16459e+07	2.01597e+06	-1.12858e+07	1.14644e+07
5.68434e+02	1.64197e-11	8.33794e-11	1.61103e-11	8.99481e+07	1.77133e+07	3.35800e+06	-1.70520e+07	1.73795e+07
3.55271e+02	1.74781e-11	8.04286e-11	1.70794e-11	1.23516e+08	2.68415e+07	5.56992e+06	-2.56310e+07	2.62293e+07
2.22045e+02	1.87153e-11	7.76438e-11	1.81942e-11	1.68121e+08	4.05238e+07	9.23152e+06	-3.82987e+07	3.93955e+07
1.38778e+02	2.01933e-11	7.49039e-11	1.94972e-11	2.25975e+08	6.09203e+07	1.53107e+07	-5.67927e+07	5.88203e+07
8.67362e+01	2.20053e-11	7.21207e-11	2.10474e-11	2.98733e+08	9.11489e+07	2.54425e+07	-8.33859e+07	8.71810e+07
5.42101e+01	2.42800e-11	6.94998e-11	2.29215e-11	3.88361e+08	1.35676e+08	4.22432e+07	-1.20918e+08	1.28084e+08
3.38813e+01	2.72486e-11	6.72697e-11	2.52554e-11	4.95418e+08	2.00677e+08	6.98298e+07	-1.72391e+08	1.85997e+08
2.11758e+01	3.12747e-11	6.56100e-11	2.82314e-11	6.18708e+08	2.94923e+08	1.14554e+08	-2.40318e+08	2.66224e+08
1.32349e+01	3.69728e-11	6.50353e-11	3.21418e-11	7.57023e+08	4.30370e+08	1.84906e+08	-3.25250e+08	3.74136e+08
8.27181e+00	4.55028e-11	6.59651e-11	3.74559e-11	9.04676e+08	6.24047e+08	2.91679e+08	-4.22846e+08	5.13688e+08
5.16988e+00	5.90051e-11	6.95063e-11	4.49823e-11	1.05750e+09	8.97729e+08	4.42910e+08	-5.21735e+08	6.84380e+08
3.23117e+00	8.16890e-11	7.68546e-11	5.59755e-11	1.20819e+09	1.28419e+09	6.40900e+08	-6.02971e+08	8.79958e+08
2.01948e+00	1.22269e-10	9.01422e-11	7.25555e-11	1.34948e+09	1.83043e+09	8.74282e+08	-6.44562e+08	1.08620e+09
1.26218e+00	1.99497e-10	1.12842e-10	9.82185e-11	1.47497e+09	2.60765e+09	1.11745e+09	-6.32068e+08	1.28383e+09
1.00000e+00	2.63525e-10	1.29516e-10	1.16236e-10	1.52567e+09	3.10428e+09	1.22885e+09	-6.03946e+08	1.36924e+09
