m = 9, 9.2.2023, 16:42
Diameter[mm] 8.840e+00  Thickness[mm] 1.770e+00  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0656e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Yp' [1/Ohm]	 Yp'' [1/Ohm]	 Ys' [1/Ohm]	 Ys'' [1/Ohm]	  |Y| [1/Ohm]	 Lp' [H]	 Lp'' [H]	 Ls' [H]
1.00000e+05	2.61959e-07	7.27824e-06	2.02480e-04	-7.28766e-06	7.28295e-06	-2.18672e-01	6.07558e+00	-2.18390e-01
6.25000e+04	1.94483e-07	4.59198e-06	1.08617e-04	-4.60022e-06	4.59610e-06	-5.54549e-01	1.30936e+01	-5.53556e-01
3.90625e+04	1.47626e-07	2.90135e-06	5.71690e-05	-2.90886e-06	2.90511e-06	-1.40430e+00	2.75992e+01	-1.40067e+00
2.44141e+04	1.14035e-07	1.83879e-06	2.97640e-05	-1.84586e-06	1.84232e-06	-3.54526e+00	5.71664e+01	-3.53168e+00
1.52588e+04	8.83899e-08	1.16922e-06	1.55549e-05	-1.17590e-06	1.17256e-06	-8.92078e+00	1.18004e+02	-8.87009e+00
9.53674e+03	6.81329e-08	7.46889e-07	8.25570e-06	-7.53104e-07	7.49990e-07	-2.23442e+01	2.44942e+02	-2.21598e+01
5.96046e+03	5.19079e-08	4.79528e-07	4.48181e-06	-4.85147e-07	4.82329e-07	-5.56834e+01	5.14407e+02	-5.50385e+01
3.72529e+03	3.89640e-08	3.09522e-07	2.49774e-06	-3.14427e-07	3.11965e-07	-1.38028e+02	1.09647e+03	-1.35875e+02
2.32831e+03	2.88540e-08	2.00985e-07	1.42883e-06	-2.05127e-07	2.03045e-07	-3.40108e+02	2.36905e+03	-3.33240e+02
1.45519e+03	2.11044e-08	1.31060e-07	8.34995e-07	-1.34458e-07	1.32748e-07	-8.34507e+02	5.18235e+03	-8.13415e+02
9.09495e+02	1.53384e-08	8.58673e-08	4.96039e-07	-8.86072e-08	8.72265e-08	-2.03794e+03	1.14088e+04	-1.97493e+03
5.68434e+02	1.11175e-08	5.64549e-08	2.97796e-07	-5.86443e-08	5.75392e-08	-4.95950e+03	2.51844e+04	-4.77435e+03
3.55271e+02	8.09612e-09	3.72558e-08	1.79536e-07	-3.90152e-08	3.81253e-08	-1.20245e+04	5.53329e+04	-1.14822e+04
2.22045e+02	5.94811e-09	2.46768e-08	1.08325e-07	-2.61106e-08	2.53836e-08	-2.90463e+04	1.20504e+05	-2.74513e+04
1.38778e+02	4.42528e-09	1.64149e-08	6.53138e-08	-1.76079e-08	1.70009e-08	-6.98654e+04	2.59155e+05	-6.51317e+04
8.67362e+01	3.34747e-09	1.09711e-08	3.93043e-08	-1.19924e-08	1.14704e-08	-1.67252e+05	5.48155e+05	-1.53007e+05
5.42101e+01	2.57492e-09	7.37052e-09	2.36725e-08	-8.27008e-09	7.80735e-09	-3.98329e+05	1.14019e+06	-3.55002e+05
3.38813e+01	2.01850e-09	4.98313e-09	1.43205e-08	-5.80076e-09	5.37643e-09	-9.42665e+05	2.32719e+06	-8.09795e+05
2.11758e+01	1.61627e-09	3.39071e-09	8.72951e-09	-4.16115e-09	3.75623e-09	-2.21661e+06	4.65013e+06	-1.80620e+06
1.32349e+01	1.32096e-09	2.32358e-09	5.40816e-09	-3.07456e-09	2.67282e-09	-5.17537e+06	9.10351e+06	-3.91127e+06
8.27181e+00	1.10537e-09	1.60244e-09	3.42842e-09	-2.36493e-09	1.94671e-09	-1.20071e+07	1.74066e+07	-8.13583e+06
5.16988e+00	9.45628e-10	1.11392e-09	2.25779e-09	-1.91668e-09	1.46118e-09	-2.76366e+07	3.25551e+07	-1.60616e+07
3.23117e+00	8.27687e-10	7.78704e-10	1.56031e-09	-1.65846e-09	1.13642e-09	-6.32539e+07	5.95105e+07	-2.97000e+07
2.01948e+00	7.41024e-10	5.46318e-10	1.14380e-09	-1.55144e-09	9.20641e-10	-1.44256e+08	1.06352e+08	-5.07978e+07
1.26218e+00	6.77979e-10	3.83487e-10	8.94892e-10	-1.58211e-09	7.78921e-10	-3.28813e+08	1.85987e+08	-7.97009e+07
1.00000e+00	6.55449e-10	3.22136e-10	8.13771e-10	-1.65578e-09	7.30332e-10	-4.94062e+08	2.42818e+08	-9.61209e+07
